Timestamp,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,What made you change? Select all that apply.,"If you selected others on previous question, please write what it was."
10/28/2023 22:01:32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Others (Please write on the next question),
10/28/2023 22:05:07,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Sustainbility promotions,
10/28/2023 22:05:21,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,Sometimes,Sustainbility promotions,
10/28/2023 22:06:33,Yes,Yes,Yes,Sometimes,Sometimes,No,Yes,No,No,No,No,Yes,No,No,Yes,Sustainbility promotions,
10/28/2023 22:12:21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:12:54,Yes,No,Sometimes,No,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,No,No,Yes,Sometimes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:13:02,Yes,Yes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,No,Sometimes,No,No,Yes,No,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:13:33,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Sometimes,Yes,No,Yes,Yes,No,Documentary about Earth environment,Situational environmental
10/28/2023 22:13:37,Sometimes,Yes,No,No,No,Sometimes,Yes,Sometimes,No,No,Sometimes,No,Sometimes,No,Yes,"Documentary about Earth environment, Others (Please write on the next question)",
10/28/2023 22:14:48,Yes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,Sometimes,Sometimes,Sometimes,Others (Please write on the next question),"As I got to college, my habits changed "
10/28/2023 22:15:35,Sometimes,No,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Sustainbility promotions,
10/28/2023 22:15:45,Yes,Yes,Yes,No,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Documentary about Earth environment,
10/28/2023 22:16:56,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Documentary about Earth environment,
10/28/2023 22:17:35,Yes,Yes,No,No,Yes,Sometimes,Yes,No,No,Yes,Sometimes,Yes,No,No,Sometimes,Sustainbility promotions,
10/28/2023 22:17:54,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Sustainbility promotions,
10/28/2023 22:18:15,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,No,No,Yes,Yes,Sometimes,No,No,Others (Please write on the next question),N/A
10/28/2023 22:18:46,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"Sustainbility promotions, Others (Please write on the next question)",Seeing more about sustainability on social media
10/28/2023 22:18:51,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Sometimes,Yes,Yes,Yes,No,Sometimes,Others (Please write on the next question),Money
10/28/2023 22:19:19,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Others (Please write on the next question),"Distance to schooL, access to recycling center"
10/28/2023 22:19:30,Yes,Yes,No,Yes,Sometimes,Sometimes,Yes,No,Yes,Yes,Sometimes,Yes,No,Yes,Yes,"Sustainbility promotions, Others (Please write on the next question)",Situation
10/28/2023 22:20:15,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes,Others (Please write on the next question),I just feel more convenient to have my own water bottle that has more water than disposable bottles. Water is expensive and electricity as well. That's why I turn them off. I ride the bus because I am broke. 
10/28/2023 22:20:39,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sustainbility promotions,
10/28/2023 22:20:45,Yes,Yes,No,Sometimes,Yes,Yes,Yes,No,Sometimes,Yes,Yes,Yes,No,Yes,Yes,Others (Please write on the next question),
10/28/2023 22:21:23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Others (Please write on the next question),I DIDN’T CHANGE IM AFREAKING ANGEL
10/28/2023 22:21:25,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Others (Please write on the next question),My Mom
10/28/2023 22:21:27,Yes,No,Yes,No,Sometimes,No,No,Yes,No,Sometimes,Yes,Yes,No,No,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:23:27,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Others (Please write on the next question),My mother living with me and telling me what to do
10/28/2023 22:23:39,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Sometimes,Yes,Sometimes,Others (Please write on the next question),Recycling became less frequent in college because I didn’t have a recycling bin in my room. 
10/28/2023 22:25:52,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Sustainbility promotions,
10/28/2023 22:26:04,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Others (Please write on the next question),Knowing more about the environment
10/28/2023 22:26:25,Sometimes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Others (Please write on the next question),Laziness
10/28/2023 22:26:34,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Others (Please write on the next question),I just do what I do
10/28/2023 22:26:35,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Others (Please write on the next question),I didn’t really change. It’s just about convenience
10/28/2023 22:27:12,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Documentary about Earth environment,
10/28/2023 22:27:53,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Sometimes,Sustainbility promotions,
